season,row_count,generated_at_utc,source_endpoint
2002,30279,2026-05-30 19:30:43 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2003,30894,2026-05-30 19:38:53 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2004,30606,2026-05-30 19:45:28 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2005,31627,2026-05-30 19:53:25 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2006,38092,2026-05-30 20:01:32 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2007,38317,2026-05-30 20:09:41 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2008,37999,2026-05-30 20:17:49 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2009,37479,2026-05-30 20:25:50 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2010,37103,2026-05-30 20:34:08 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2011,37771,2026-05-30 20:42:19 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2012,31038,2026-05-30 20:49:10 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2013,33578,2026-05-30 20:57:09 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2014,33756,2026-05-30 21:05:21 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2015,33578,2026-05-30 21:12:48 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2016,33715,2026-05-30 21:20:51 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2017,33657,2026-05-30 21:29:00 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2018,33144,2026-05-30 21:36:45 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2019,33010,2026-05-30 21:45:02 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2020,28764,2026-05-30 21:56:03 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2021,31593,2026-05-30 22:00:06 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2022,33880,2026-05-30 22:24:54 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2023,34057,2026-08-02 13:40:29 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2024,35028,2026-05-30 22:52:46 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2025,35250,2026-07-14 05:25:44 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2026,34883,2026-08-07 15:59:15 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
